n,mean,low,high,function
270,0.007653050000000406,0.006627680000020319,0.009533545000000023,rm3
271,0.008033030999999085,0.006481349999994279,0.012282064999990183,rm3
272,0.008416901999999027,0.007355077500011475,0.012771617499996066,rm3
273,0.008171369999999172,0.00695883000000137,0.012846334999996146,rm3
274,0.008192040999998653,0.0063351474999983285,0.012447629999994088,rm3
275,0.009787489999999082,0.008129209999994202,0.013860582499989959,rm3
276,0.009368263999998874,0.007164185000001311,0.01371230249999442,rm3
277,0.009168489999999281,0.007388169999996563,0.014410674999984961,rm3
278,0.008990983999999855,0.008125147500011564,0.01371269500000949,rm3
279,0.008471408999998289,0.00797890000001402,0.012708914999999614,rm3
280,0.008369344999998703,0.006381819999995741,0.01206199749999044,rm3
281,0.008072816000002092,0.0074343725000048265,0.012202320000005071,rm3
282,0.008842717999999933,0.007983347499988724,0.013784025000003908,rm3
283,0.008424100999999951,0.006907105000002645,0.013897069999996601,rm3
284,0.010426390000000367,0.008049127499987208,0.014557162499998806,rm3
285,0.0076441640000015805,0.005673042500011149,0.0116264449999889,rm3
286,0.005488884000000951,0.004160629999999799,0.008002477500009065,rm3
287,0.01076220399999812,0.007577464999989303,0.01469410499999526,rm3
288,0.005362864000001934,0.0038176925000129817,0.00729099000000204,rm3
289,0.005532061000000681,0.003963037500006549,0.00796798749999894,rm3
290,0.009326320999998075,0.007157027499989965,0.013886172500011184,rm3
291,0.010726341999999818,0.007660649999997559,0.015925192499997104,rm3
292,0.011864299999996887,0.006995102499990224,0.017998852499996332,rm3
293,0.009787060999998686,0.007708307499994049,0.016490450000001988,rm3
294,0.008630510000000414,0.0076554724999930105,0.013386942500001452,rm3
295,0.010493259000001275,0.008140752499991777,0.01451989999999128,rm3
296,0.010499176000000148,0.007674692499988112,0.014353467500010448,rm3
297,0.012160901999998544,0.008705570000001474,0.01671342249999412,rm3
298,0.008967795000000934,0.006487645000003539,0.013107230000000669,rm3
299,0.008397321999997587,0.006791645000005531,0.01250341749999535,rm3
300,0.008640523999999062,0.007031954999983015,0.013173347499995457,rm3
301,0.007171605999998292,0.0058897424999941,0.010961187499989221,rm3
302,0.009924107999999307,0.007901075000000191,0.014569349999980828,rm3
303,0.009510970999998562,0.008100092500006895,0.01401405499998986,rm3
304,0.008311841999999387,0.007077082500000387,0.012729467500002301,rm3
305,0.00980736100000172,0.00849596000000332,0.015260332500010064,rm3
306,0.008821349999999199,0.007105130000003613,0.013033287499987977,rm3
307,0.010976619999999286,0.008637122499995799,0.016168905000002808,rm3
308,0.008301194999998813,0.007046542499994502,0.01257243999998252,rm3
309,0.011706998000002215,0.011009965000007328,0.016160822500005168,rm3
310,0.009714764999999943,0.00803713500001706,0.014960877500011092,rm3
311,0.009574102000001118,0.008355205000000865,0.013129824999996487,rm3
312,0.009005083000000979,0.0078842874999971,0.013097745000010973,rm3
313,0.010121812999998668,0.009225147500004027,0.01550337999999769,rm3
314,0.010610620999997024,0.00867207750001171,0.015890394999984635,rm3
315,0.010097477999998147,0.008495924999989767,0.01597577499999119,rm3
316,0.009950578999997503,0.007650922500009472,0.015201729999992603,rm3
317,0.011258212999998988,0.009437374999998128,0.016807399999998293,rm3
318,0.010808763999998519,0.009386387499995407,0.015997142499998056,rm3
319,0.00822553300000152,0.007744702500003342,0.01276240749999715,rm3
320,0.009790278999999203,0.008300192499992677,0.013925155000008961,rm3
321,0.008235888999999474,0.007862842499995536,0.011313077499992358,rm3
322,0.009897584999999652,0.008647744999998253,0.013295257500000438,rm3
323,0.009321731999996814,0.008348542500008448,0.01387746250000248,rm3
324,0.011441250000000878,0.008822914999991837,0.015203027500008657,rm3
325,0.010788282999999694,0.009330817500007527,0.016225759999983325,rm3
326,0.00472155000000015,0.004076057500003572,0.006298594999991986,rm3
327,0.012113548000001514,0.008376975000008714,0.016004210000001958,rm3
328,0.010135783999999717,0.00884430499998885,0.014880890000004853,rm3
329,0.0049860289999992344,0.004573947500001907,0.007272837499994718,rm3
330,0.009942824000000598,0.008855482500009514,0.015114160000016596,rm3
331,0.009863402000000292,0.008747859999982666,0.014931577500014726,rm3
332,0.005715953000000695,0.00520622500000556,0.008853457500001837,rm3
333,0.008283613999999488,0.007450262499999382,0.012922455000008878,rm3
334,0.009084907000001294,0.007878077499984926,0.012900709999987447,rm3
335,0.009144699000000856,0.007595649999999665,0.014552777499977763,rm3
336,0.01180330199999986,0.00831658750000841,0.018082022499989837,rm3
337,0.008644524000000615,0.007883989999994867,0.012801552500000918,rm3
338,0.011777817999999059,0.010012397500010905,0.018117339999994896,rm3
339,0.011054453000001558,0.009378502499986752,0.015796164999987636,rm3
340,0.010846923000000003,0.009961235000000812,0.016543964999988246,rm3
341,0.010400226999998666,0.008310347499991622,0.0162013600000094,rm3
342,0.010466079000001117,0.010029095000005128,0.01443382749999955,rm3
343,0.010790707999999824,0.009070599999997597,0.016800269999998105,rm3
344,0.009522044999999651,0.008285062500000606,0.011700947500003164,rm3
345,0.01135062699999935,0.00928296999999958,0.016729892500004694,rm3
346,0.00925272500000034,0.0078100850000019754,0.013792864999990674,rm3
347,0.011581919000000766,0.01055774750000964,0.017739417499989685,rm3
348,0.010287285000000281,0.008707437500002867,0.014884277499998433,rm3
349,0.011098874000002751,0.010021357499998374,0.016670985000006765,rm3
350,0.011101321999999242,0.008984782499998546,0.017526964999989045,rm3
351,0.01149674600000111,0.009662932499982447,0.017723447499999163,rm3
352,0.01096371199999794,0.009165962500001967,0.017012180000000397,rm3
353,0.01050907599999931,0.009273475000009057,0.015244622499985636,rm3
354,0.011560329000000138,0.009385250000001122,0.017231037499991685,rm3
355,0.012536782000000244,0.010003792499990994,0.01754293500001438,rm3
356,0.012204138000001023,0.009834764999983748,0.0179025700000075,rm3
357,0.013047906999998417,0.009701062499998159,0.01832451000000148,rm3
358,0.010622152999997922,0.008448234999991654,0.014759739999990272,rm3
359,0.013287978000001033,0.009539877499989302,0.019098957499996058,rm3
360,0.013374513000002253,0.009215004999994392,0.018223014999989573,rm3
361,0.015955200000001925,0.011412670000001412,0.021340364999992544,rm3
362,0.013951643000000047,0.009116652499991319,0.019271237500012,rm3
363,0.012562921000001098,0.008702419999989532,0.01728571250001849,rm3
364,0.014181198000000563,0.008709075000007262,0.018174942499997824,rm3
365,0.01691461699999934,0.011262270000001707,0.022853439999995118,rm3
366,0.01646121499999964,0.011221357499989183,0.021192117500000048,rm3
367,0.013412133000002768,0.009070715000008535,0.017959872500003363,rm3
368,0.01635924799999941,0.011004912499998198,0.0209308724999957,rm3
369,0.01415901400000081,0.010634742500005245,0.02025568999998981,rm3
370,0.013529276000002994,0.010333445000007657,0.019298747500004508,rm3
371,0.005549382000000378,0.004309292500020945,0.008387630000015632,rm3
372,0.011923716000005129,0.00889853250000101,0.01692721750000601,rm3
373,0.012151565000002619,0.010126414999987787,0.01865842749998876,rm3
374,0.009838682999999264,0.007411967500020466,0.014911944999997217,rm3
375,0.011993486000003486,0.01080685749998338,0.017914544999987923,rm3
376,0.011310018000003197,0.009272615000007534,0.01646817249999799,rm3
377,0.0056039129999999205,0.005101087500001711,0.008366009999983248,rm3
378,0.013864116000003151,0.010741304999982049,0.019530407499988196,rm3
379,0.013327687999999399,0.009578342499987968,0.019244252500000412,rm3
380,0.011641632000001892,0.009856272500000785,0.017514782499985414,rm3
381,0.011795062000006169,0.008966995000021427,0.01709327500002615,rm3
382,0.011482349000003752,0.009104220000034502,0.01715832750001879,rm3
383,0.013536734999998998,0.009419030000000817,0.01830348750002031,rm3
384,0.012660000999999851,0.01032579499999713,0.018004262499992763,rm3
385,0.012246580999999424,0.009506927499997174,0.017892242499991086,rm3
386,0.01302343399999927,0.010681417500003931,0.02036625999999728,rm3
387,0.012808200999998007,0.010823555000011708,0.01854395999998246,rm3
388,0.011448506000003817,0.009525459999960618,0.016846522500044602,rm3
389,0.01235589299999731,0.01007436250000495,0.018692415000001007,rm3
390,0.014171385000000213,0.011829689999984794,0.02094664250001301,rm3
391,0.013917868999996016,0.011468977499980326,0.02196190249999574,rm3
392,0.018479356000001418,0.012421720000014604,0.023761862499998183,rm3
393,0.015211881000000744,0.010313432500002762,0.01999719500000623,rm3
394,0.012992434000001368,0.010500424999993641,0.019428217500001208,rm3
395,0.01210844599999632,0.009399772499988046,0.01868059500002204,rm3
396,0.013478897000002234,0.009894815000031087,0.01977725249998201,rm3
397,0.01102349500000173,0.009203969999994399,0.016142485000030148,rm3
398,0.010906109000001152,0.008975135000002864,0.016405249999996832,rm3
399,0.011334150000000704,0.010462425000002894,0.015751034999966846,rm3
400,0.01392878100000189,0.010379807499997184,0.022282642500005063,rm3
